algorithm,cores,iterations,size,latency,min,max
0,206,1000,1.0,5.24,1.07,12.97
0,206,1000,2.0,7.49,0.55,15.73
0,206,1000,4.0,7.99,0.59,17.52
0,206,1000,8.0,8.36,0.59,17.66
0,206,1000,16.0,8.54,0.59,18.5
0,206,1000,32.0,9.25,0.64,19.31
0,206,1000,64.0,10.03,0.65,26.38
0,206,1000,128.0,10.27,0.76,18.95
0,206,1000,256.0,11.96,0.68,22.57
0,206,1000,512.0,12.32,0.7,22.0
0,206,1000,1024.0,14.61,0.76,26.92
0,206,1000,2048.0,17.38,0.84,27.66
0,206,1000,4096.0,25.85,0.95,41.45
0,206,1000,8192.0,42.58,1.14,75.49
0,206,1000,16384.0,114.71,6.1,193.24
0,206,1000,32768.0,238.47,27.35,347.62
0,206,1000,65536.0,97.38,55.59,136.24
0,206,1000,131072.0,205.62,106.16,295.13
0,206,1000,262144.0,440.78,196.2,644.68
0,206,1000,524288.0,938.78,376.05,1368.0
0,206,1000,1048576.0,1647.41,668.41,2376.27
0,170,1000,1.0,6.24,1.67,13.63
0,170,1000,2.0,7.5,0.5,14.41
0,170,1000,4.0,7.54,0.52,13.44
0,170,1000,8.0,7.75,0.54,13.87
0,170,1000,16.0,7.81,0.5,14.81
0,170,1000,32.0,8.02,0.51,14.28
0,170,1000,64.0,8.09,0.53,14.71
0,170,1000,128.0,9.46,0.69,17.0
0,170,1000,256.0,9.57,0.67,16.8
0,170,1000,512.0,10.0,0.71,17.33
0,170,1000,1024.0,11.11,0.72,18.66
0,170,1000,2048.0,13.94,0.79,21.93
0,170,1000,4096.0,21.27,0.88,31.99
0,170,1000,8192.0,38.09,1.09,57.5
0,170,1000,16384.0,118.07,8.5,192.96
0,170,1000,32768.0,193.14,11.43,275.46
0,170,1000,65536.0,89.93,53.84,120.72
0,170,1000,131072.0,207.12,116.61,293.45
0,170,1000,262144.0,439.04,217.44,643.16
0,170,1000,524288.0,982.21,444.36,1423.71
0,170,1000,1048576.0,1542.95,700.24,2149.4
2,250,1000,1.0,23.97,1.11,44.77
2,250,1000,2.0,22.69,0.73,44.03
2,250,1000,4.0,23.3,0.75,43.95
2,250,1000,8.0,23.26,0.69,44.63
2,250,1000,16.0,26.93,1.19,52.73
2,250,1000,32.0,24.0,0.84,44.75
2,250,1000,64.0,26.67,1.13,60.44
2,250,1000,128.0,24.7,1.23,47.09
2,250,1000,256.0,25.3,1.06,50.48
2,250,1000,512.0,26.17,1.13,53.32
2,250,1000,1024.0,27.67,1.37,57.11
2,250,1000,2048.0,32.28,2.31,65.79
2,250,1000,4096.0,39.08,3.51,76.06
2,250,1000,8192.0,59.83,2.54,111.6
2,250,1000,16384.0,165.12,13.41,330.61
2,250,1000,32768.0,235.71,17.23,448.19
2,250,1000,65536.0,381.22,32.43,720.57
2,250,1000,131072.0,705.02,45.48,1309.24
2,250,1000,262144.0,1397.18,78.81,2594.62
2,250,1000,524288.0,2829.57,172.59,5238.06
2,250,1000,1048576.0,5541.61,319.08,10294.9
0,50,1000,1.0,2.09,1.19,3.27
0,50,1000,2.0,2.06,1.16,3.25
0,50,1000,4.0,2.07,1.14,3.26
0,50,1000,8.0,2.1,1.14,3.34
0,50,1000,16.0,2.02,1.17,3.15
0,50,1000,32.0,2.21,1.23,3.51
0,50,1000,64.0,2.27,1.28,3.47
0,50,1000,128.0,3.29,2.35,4.45
0,50,1000,256.0,3.4,2.39,4.57
0,50,1000,512.0,3.59,2.56,4.81
0,50,1000,1024.0,4.17,2.8,5.57
0,50,1000,2048.0,5.74,3.46,7.15
0,50,1000,4096.0,7.56,4.77,9.73
0,50,1000,8192.0,11.31,7.4,14.92
0,50,1000,16384.0,18.47,11.85,23.13
0,50,1000,32768.0,29.34,19.45,39.06
0,50,1000,65536.0,65.27,46.07,86.42
0,50,1000,131072.0,97.79,60.86,129.64
0,50,1000,262144.0,207.15,136.56,272.28
0,50,1000,524288.0,477.29,337.83,590.72
0,50,1000,1048576.0,961.01,575.83,1196.9
0,10,1000,1.0,1.06,0.36,1.48
0,10,1000,2.0,1.05,0.36,1.48
0,10,1000,4.0,1.07,0.38,1.48
0,10,1000,8.0,1.15,0.24,1.53
0,10,1000,16.0,1.17,0.24,1.56
0,10,1000,32.0,1.2,0.25,1.61
0,10,1000,64.0,1.24,0.43,1.74
0,10,1000,128.0,1.65,0.86,2.19
0,10,1000,256.0,1.67,0.89,2.19
0,10,1000,512.0,1.78,0.98,2.27
0,10,1000,1024.0,1.83,0.97,2.35
0,10,1000,2048.0,2.46,1.65,3.01
0,10,1000,4096.0,4.14,0.69,5.44
0,10,1000,8192.0,6.72,0.97,9.26
0,10,1000,16384.0,12.5,6.49,18.76
0,10,1000,32768.0,15.16,8.12,18.06
0,10,1000,65536.0,30.17,23.41,33.21
0,10,1000,131072.0,64.46,57.66,68.47
0,10,1000,262144.0,145.32,133.18,155.22
0,10,1000,524288.0,297.34,284.18,307.86
0,10,1000,1048576.0,589.69,570.82,603.91
2,86,1000,1.0,5.12,0.64,9.58
2,86,1000,2.0,5.56,0.69,10.39
2,86,1000,4.0,5.44,0.87,10.01
2,86,1000,8.0,5.34,0.82,9.93
2,86,1000,16.0,5.4,0.76,9.92
2,86,1000,32.0,5.54,0.81,10.15
2,86,1000,64.0,5.67,0.94,10.26
2,86,1000,128.0,7.05,0.86,12.79
2,86,1000,256.0,7.0,0.94,12.65
2,86,1000,512.0,7.58,0.95,13.35
2,86,1000,1024.0,8.07,1.0,14.48
2,86,1000,2048.0,10.42,1.15,18.98
2,86,1000,4096.0,13.22,1.3,24.2
2,86,1000,8192.0,19.82,1.85,36.03
2,86,1000,16384.0,58.08,8.48,105.64
2,86,1000,32768.0,89.32,12.02,162.35
2,86,1000,65536.0,151.49,21.89,271.42
2,86,1000,131072.0,292.06,68.0,508.11
2,86,1000,262144.0,588.61,168.11,997.24
2,86,1000,524288.0,1207.45,368.9,1993.37
2,86,1000,1048576.0,2458.49,761.35,4123.18
2,230,1000,1.0,27.15,1.2,54.45
2,230,1000,2.0,24.24,0.6,51.23
2,230,1000,4.0,23.63,0.57,48.55
2,230,1000,8.0,23.9,0.66,44.47
2,230,1000,16.0,24.38,0.57,47.15
2,230,1000,32.0,24.43,0.62,47.1
2,230,1000,64.0,23.6,0.56,45.41
2,230,1000,128.0,24.85,0.69,47.78
2,230,1000,256.0,24.95,0.67,47.32
2,230,1000,512.0,24.61,0.85,48.76
2,230,1000,1024.0,25.74,1.04,51.12
2,230,1000,2048.0,28.26,1.93,56.96
2,230,1000,4096.0,34.75,2.14,69.73
2,230,1000,8192.0,47.46,2.21,93.38
2,230,1000,16384.0,143.47,10.28,273.06
2,230,1000,32768.0,218.42,14.77,409.4
