algorithm,cores,iterations,size,latency,min,max
0,206,1000,1.0,13.1,2.15,25.47
0,206,1000,2.0,15.3,0.59,27.87
0,206,1000,4.0,15.87,0.6,29.82
0,206,1000,8.0,16.88,0.61,29.28
0,206,1000,16.0,16.43,0.59,28.19
0,206,1000,32.0,15.47,0.59,26.13
0,206,1000,64.0,16.73,0.6,28.26
0,206,1000,128.0,17.66,0.63,29.08
0,206,1000,256.0,18.18,1.1,29.66
0,206,1000,512.0,18.54,1.26,29.99
0,206,1000,1024.0,19.85,1.55,31.19
0,206,1000,2048.0,21.97,0.94,34.23
0,206,1000,4096.0,26.21,1.29,39.81
0,206,1000,8192.0,33.06,2.06,48.01
0,206,1000,16384.0,131.56,4.05,228.01
0,206,1000,32768.0,91.62,11.93,113.24
0,206,1000,65536.0,462.36,28.59,739.57
0,206,1000,131072.0,949.76,30.0,1477.12
0,206,1000,262144.0,2027.61,54.69,2986.11
0,206,1000,524288.0,4171.18,99.01,5942.02
0,206,1000,1048576.0,8417.88,197.48,11759.68
0,170,1000,1.0,12.22,2.02,22.94
0,170,1000,2.0,13.17,0.54,23.06
0,170,1000,4.0,13.46,0.55,22.99
0,170,1000,8.0,13.29,0.55,22.66
0,170,1000,16.0,13.96,0.56,23.78
0,170,1000,32.0,14.33,0.58,24.24
0,170,1000,64.0,14.46,0.59,24.35
0,170,1000,128.0,15.92,0.63,26.92
0,170,1000,256.0,16.34,1.1,26.27
0,170,1000,512.0,18.02,1.27,29.1
0,170,1000,1024.0,19.21,1.55,29.85
0,170,1000,2048.0,20.41,0.94,31.46
0,170,1000,4096.0,22.84,1.34,33.49
0,170,1000,8192.0,31.36,2.13,43.11
0,170,1000,16384.0,109.33,3.87,194.2
0,170,1000,32768.0,86.44,12.69,103.37
0,170,1000,65536.0,384.24,21.29,618.56
0,170,1000,131072.0,764.38,36.77,1186.74
0,170,1000,262144.0,1575.31,53.44,2360.62
0,170,1000,524288.0,3218.57,94.42,4658.02
0,170,1000,1048576.0,6687.2,190.35,9439.71
2,250,1000,1.0,96.31,1.02,199.56
2,250,1000,2.0,95.33,0.99,189.67
2,250,1000,4.0,88.46,1.07,175.49
2,250,1000,8.0,88.69,0.74,180.44
2,250,1000,16.0,86.71,0.7,173.31
2,250,1000,32.0,87.19,0.86,174.63
2,250,1000,64.0,94.95,0.91,194.36
2,250,1000,128.0,100.79,1.25,199.04
2,250,1000,256.0,114.21,2.93,232.93
2,250,1000,512.0,118.56,3.13,236.56
2,250,1000,1024.0,130.46,3.06,262.06
2,250,1000,2048.0,135.41,2.33,269.17
2,250,1000,4096.0,152.61,2.84,303.62
2,250,1000,8192.0,176.89,3.76,349.19
2,250,1000,16384.0,241.96,7.4,472.81
2,250,1000,32768.0,379.39,10.15,741.1
2,250,1000,65536.0,668.23,29.99,1279.81
2,250,1000,131072.0,1005.61,44.26,1857.17
2,250,1000,262144.0,1677.69,62.59,3134.47
2,250,1000,524288.0,3460.81,111.81,6282.37
2,250,1000,1048576.0,8982.23,204.37,17068.86
0,50,1000,1.0,4.12,1.29,7.27
0,50,1000,2.0,4.25,1.29,7.56
0,50,1000,4.0,4.89,1.28,8.66
0,50,1000,8.0,4.49,1.3,7.73
0,50,1000,16.0,4.52,1.29,7.63
0,50,1000,32.0,4.83,1.5,8.11
0,50,1000,64.0,5.31,1.45,9.15
0,50,1000,128.0,5.8,2.67,9.02
