algorithm,cores,iterations,size,latency,min,max
0,206,1000,1.0,8.22,0.69,19.51
0,206,1000,2.0,167.25,0.67,342.04
0,206,1000,4.0,8.83,0.61,18.19
0,206,1000,8.0,8.5,0.6,17.14
0,206,1000,16.0,8.53,0.62,17.16
0,206,1000,32.0,9.21,0.63,18.41
0,206,1000,64.0,9.17,0.61,17.78
0,206,1000,128.0,10.58,1.19,20.15
0,206,1000,256.0,11.5,1.19,20.69
0,206,1000,512.0,12.36,1.28,22.24
0,206,1000,1024.0,1378.05,1.56,1982.32
0,206,1000,2048.0,318.18,2.03,815.73
0,206,1000,4096.0,23.18,2.82,42.93
0,206,1000,8192.0,40.13,4.73,77.01
0,206,1000,16384.0,462.82,49.99,5112.71
0,206,1000,32768.0,679.16,262.87,1272.85
0,206,1000,65536.0,1683.71,370.43,5518.29
0,206,1000,131072.0,1746.25,488.7,5451.75
0,206,1000,262144.0,1147.5,377.24,1807.6
0,206,1000,524288.0,1871.69,567.78,3116.13
0,206,1000,1048576.0,3247.61,936.36,5118.7
0,170,1000,1.0,6.73,1.58,12.07
0,170,1000,2.0,9.63,0.64,15.88
0,170,1000,4.0,10.41,0.66,17.78
0,170,1000,8.0,9.22,0.65,16.61
0,170,1000,16.0,9.78,0.65,17.27
0,170,1000,32.0,9.38,0.71,15.43
0,170,1000,64.0,9.33,0.72,15.9
0,170,1000,128.0,11.46,1.4,17.77
0,170,1000,256.0,10.02,1.4,16.41
0,170,1000,512.0,871.09,1.56,1716.82
0,170,1000,1024.0,28.1,1.59,59.01
0,170,1000,2048.0,41.81,2.32,97.05
0,170,1000,4096.0,18.87,3.13,30.87
0,170,1000,8192.0,50.94,5.06,76.95
0,170,1000,16384.0,327.32,26.87,1792.09
0,170,1000,32768.0,133.0,30.42,252.38
0,170,1000,65536.0,229.22,73.76,358.21
0,170,1000,131072.0,826.23,299.71,1702.89
0,170,1000,262144.0,1113.07,396.05,1893.23
0,170,1000,524288.0,2512.2,1001.23,3766.58
0,170,1000,1048576.0,3380.34,988.46,5161.67
2,250,1000,1.0,1772.46,1.06,3616.95
2,250,1000,2.0,934.55,1.08,2672.27
2,250,1000,4.0,2430.86,1.1,7536.59
2,250,1000,8.0,1195.75,1.03,2792.24
2,250,1000,16.0,6058.71,1.11,12210.94
2,250,1000,32.0,6504.34,1.22,13811.75
2,250,1000,64.0,6215.12,1.23,14357.11
2,250,1000,128.0,5777.55,2.45,14653.24
2,250,1000,256.0,5440.56,2.88,18513.18
2,250,1000,512.0,5454.34,3.13,19513.96
2,250,1000,1024.0,5662.29,3.35,18359.16
2,250,1000,2048.0,7002.48,3.92,18006.72
2,250,1000,4096.0,6546.4,5.01,19091.82
2,250,1000,8192.0,5154.18,7.24,19911.33
2,250,1000,16384.0,8431.96,499.0,18623.91
2,250,1000,32768.0,1806.78,95.46,4696.22
2,250,1000,65536.0,7351.22,402.42,21813.56
2,250,1000,131072.0,2434.46,190.2,5366.5
2,250,1000,262144.0,7144.78,328.66,17374.53
2,250,1000,524288.0,5819.07,453.03,11350.62
2,250,1000,1048576.0,9013.33,377.38,17334.43
0,50,1000,1.0,2.51,1.24,4.51
0,50,1000,2.0,2.51,1.22,4.45
0,50,1000,4.0,2.51,1.28,4.51
0,50,1000,8.0,2.5,1.25,4.47
0,50,1000,16.0,2.59,1.27,4.57
0,50,1000,32.0,2.85,1.28,5.14
0,50,1000,64.0,2.9,1.32,5.14
0,50,1000,128.0,4.42,2.68,6.58
0,50,1000,256.0,4.55,2.82,6.73
0,50,1000,512.0,4.77,2.87,7.11
0,50,1000,1024.0,5.63,3.43,8.35
0,50,1000,2048.0,8.61,3.77,11.78
0,50,1000,4096.0,11.35,5.21,14.86
0,50,1000,8192.0,18.21,8.3,25.17
0,50,1000,16384.0,34.6,20.63,43.29
0,50,1000,32768.0,69.45,33.8,91.75
0,50,1000,65536.0,152.05,66.47,203.71
0,50,1000,131072.0,327.89,140.86,435.78
0,50,1000,262144.0,695.71,304.79,916.71
0,50,1000,524288.0,1375.09,605.87,1799.59
0,50,1000,1048576.0,2210.03,744.58,2843.74
0,10,1000,1.0,1.6,0.61,2.51
0,10,1000,2.0,1.67,0.69,2.6
0,10,1000,4.0,1.65,0.7,2.52
0,10,1000,8.0,1.85,0.6,2.38
0,10,1000,16.0,1.82,0.59,2.33
0,10,1000,32.0,2.11,0.63,2.9
0,10,1000,64.0,1.78,0.86,2.84
0,10,1000,128.0,2.79,1.5,4.27
0,10,1000,256.0,2.96,1.62,4.4
0,10,1000,512.0,3.12,1.8,4.54
0,10,1000,1024.0,3.31,1.87,4.89
0,10,1000,2048.0,4.66,2.87,6.9
0,10,1000,4096.0,6.64,2.78,8.64
0,10,1000,8192.0,10.44,4.63,13.89
0,10,1000,16384.0,19.22,11.52,27.6
0,10,1000,32768.0,38.88,16.57,47.16
0,10,1000,65536.0,82.66,49.17,93.53
0,10,1000,131072.0,174.18,137.73,195.98
0,10,1000,262144.0,341.22,310.77,357.67
0,10,1000,524288.0,698.72,652.41,730.16
0,10,1000,1048576.0,1229.93,966.99,1310.62
2,86,1000,1.0,11.15,1.09,21.03
2,86,1000,2.0,10.7,1.23,20.2
2,86,1000,4.0,11.16,1.23,20.86
2,86,1000,8.0,11.38,1.32,21.78
2,86,1000,16.0,11.4,1.43,21.32
2,86,1000,32.0,13.98,1.24,26.79
2,86,1000,64.0,13.18,1.26,25.33
2,86,1000,128.0,16.4,2.54,30.14
2,86,1000,256.0,16.63,2.73,30.52
2,86,1000,512.0,19.63,3.26,35.38
2,86,1000,1024.0,21.62,2.93,40.3
2,86,1000,2048.0,30.9,4.14,57.75
2,86,1000,4096.0,39.93,4.99,70.84
2,86,1000,8192.0,58.12,7.58,104.16
2,86,1000,16384.0,113.41,17.3,200.95
2,86,1000,32768.0,190.94,38.19,325.37
2,86,1000,65536.0,339.05,60.89,580.45
2,86,1000,131072.0,602.11,110.79,1037.71
2,86,1000,262144.0,1109.26,205.12,1922.86
2,86,1000,524288.0,2052.21,409.89,3533.32
2,86,1000,1048576.0,3906.75,779.58,6827.84
2,230,1000,1.0,46.88,1.11,92.67
2,230,1000,2.0,42.21,0.7,79.32
2,230,1000,4.0,41.67,0.61,78.19
2,230,1000,8.0,4185.63,1.23,10656.11
2,230,1000,16.0,666.26,0.92,2041.15
2,230,1000,32.0,443.8,0.87,1249.61
2,230,1000,64.0,368.04,0.85,781.94
2,230,1000,128.0,154.72,1.33,483.27
2,230,1000,256.0,1624.22,3.08,4332.75
2,230,1000,512.0,58.17,1.45,116.83
2,230,1000,1024.0,61.9,1.69,122.54
2,230,1000,2048.0,420.64,4.11,962.33
2,230,1000,4096.0,104.33,5.35,207.0
2,230,1000,8192.0,156.31,8.4,302.12
2,230,1000,16384.0,6880.93,341.7,16602.16
2,230,1000,32768.0,9369.79,700.11,21431.24
2,230,1000,65536.0,4804.01,347.46,10835.74
2,230,1000,131072.0,1779.92,98.86,3322.92
2,230,1000,262144.0,2521.74,125.79,5198.92
2,230,1000,524288.0,5192.35,212.68,10333.99
2,230,1000,1048576.0,9098.14,533.21,17539.42
2,122,1000,1.0,15.39,1.03,30.14
2,122,1000,2.0,18.02,1.02,35.25
2,122,1000,4.0,17.05,1.09,34.44
2,122,1000,8.0,16.93,1.03,34.21
2,122,1000,16.0,17.93,1.11,35.03
2,122,1000,32.0,20.07,1.2,42.37
2,122,1000,64.0,21.69,1.13,43.28
