mapby,p,comm,size,latency,min,max,iterations,p50,p95,p99
cache,2,1,1,0.14,0.09,0.19,1000,0.14,0.15,0.16
cache,2,1,2,0.13,0.08,0.18,1000,0.13,0.15,0.15
cache,2,1,4,0.14,0.09,0.19,1000,0.13,0.15,0.15
cache,2,1,8,0.13,0.08,0.19,1000,0.13,0.16,0.17
cache,2,1,16,0.14,0.09,0.19,1000,0.14,0.17,0.18
cache,2,1,32,0.14,0.08,0.19,1000,0.14,0.15,0.16
cache,2,1,64,0.15,0.09,0.20,1000,0.14,0.18,0.19
cache,2,1,128,0.19,0.14,0.24,1000,0.19,0.21,0.22
cache,2,1,256,0.21,0.14,0.27,1000,0.20,0.23,0.25
cache,2,1,512,0.21,0.14,0.28,1000,0.21,0.25,0.27
cache,2,1,1024,0.26,0.15,0.36,1000,0.25,0.29,0.31
cache,2,1,2048,0.30,0.19,0.42,1000,0.30,0.36,0.38
cache,2,1,4096,0.40,0.27,0.53,1000,0.39,0.48,0.49
cache,2,1,8192,0.56,0.40,0.72,1000,0.56,0.60,0.62
cache,2,1,16384,4.51,4.43,4.59,1000,4.45,4.73,4.82
cache,2,1,32768,5.11,5.03,5.20,1000,5.15,5.34,5.58
cache,2,1,65536,6.36,6.28,6.44,1000,6.09,6.47,7.49
cache,2,1,131072,11.17,11.13,11.21,1000,10.79,12.50,13.64
cache,2,1,262144,21.25,21.24,21.25,1000,21.03,23.11,24.39
cache,2,1,524288,43.42,43.42,43.43,1000,42.68,47.04,48.33
cache,2,1,1048576,84.20,84.20,84.21,1000,83.01,90.49,94.79
cache,3,2,1,0.27,0.12,0.40,1000,0.25,0.33,0.34
cache,3,2,2,0.27,0.12,0.39,1000,0.25,0.29,0.33
cache,3,2,4,0.28,0.12,0.44,1000,0.25,0.33,0.34
cache,3,2,8,0.27,0.13,0.41,1000,0.27,0.33,0.35
cache,3,2,16,0.25,0.12,0.37,1000,0.24,0.28,0.28
cache,3,2,32,0.27,0.13,0.40,1000,0.26,0.32,0.35
cache,3,2,64,0.26,0.13,0.39,1000,0.25,0.31,0.34
cache,3,2,128,0.35,0.23,0.43,1000,0.34,0.38,0.39
cache,3,2,256,0.37,0.25,0.46,1000,0.37,0.45,0.47
cache,3,2,512,0.40,0.26,0.48,1000,0.38,0.48,0.51
cache,3,2,1024,0.40,0.26,0.49,1000,0.40,0.46,0.47
cache,3,2,2048,0.53,0.38,0.62,1000,0.52,0.64,0.67
cache,3,2,4096,0.65,0.51,0.77,1000,0.65,0.70,0.72
cache,3,2,8192,0.96,0.82,1.14,1000,0.94,1.13,1.18
cache,3,2,16384,4.49,4.44,4.57,1000,4.42,5.00,5.14
cache,3,2,32768,5.25,5.10,5.38,1000,5.03,5.64,6.05
cache,3,2,65536,6.84,6.60,7.01,1000,6.64,7.02,8.32
cache,3,2,131072,12.65,12.58,12.76,1000,12.39,13.49,15.25
cache,3,2,262144,26.24,26.17,26.34,1000,26.18,27.99,30.23
cache,3,2,524288,53.86,53.80,53.95,1000,53.75,57.45,60.97
cache,3,2,1048576,106.30,106.21,106.40,1000,103.84,113.39,119.64
cache,4,3,1,0.15,0.14,0.17,1000,0.14,0.17,0.18
cache,4,3,2,0.14,0.12,0.16,1000,0.14,0.14,0.15
cache,4,3,4,0.14,0.13,0.16,1000,0.14,0.15,0.17
cache,4,3,8,0.14,0.13,0.16,1000,0.14,0.15,0.17
cache,4,3,16,0.14,0.13,0.16,1000,0.14,0.15,0.17
cache,4,3,32,0.14,0.12,0.16,1000,0.14,0.14,0.15
cache,4,3,64,0.14,0.13,0.16,1000,0.14,0.14,0.17
cache,4,3,128,0.25,0.17,0.30,1000,0.24,0.28,0.30
cache,4,3,256,0.27,0.20,0.31,1000,0.26,0.31,0.33
cache,4,3,512,0.31,0.22,0.36,1000,0.30,0.37,0.40
cache,4,3,1024,0.37,0.28,0.43,1000,0.35,0.44,0.47
cache,4,3,2048,0.47,0.33,0.56,1000,0.46,0.51,0.58
cache,4,3,4096,0.68,0.46,0.84,1000,0.67,0.76,0.83
cache,4,3,8192,1.07,0.69,1.35,1000,1.06,1.15,1.25
cache,4,3,16384,4.23,3.92,4.58,1000,4.19,4.39,4.70
cache,4,3,32768,5.46,4.88,6.03,1000,5.00,5.40,6.35
cache,4,3,65536,8.16,7.67,8.50,1000,8.04,9.16,10.19
cache,4,3,131072,16.09,15.84,16.38,1000,15.96,18.38,20.13
cache,4,3,262144,39.18,39.02,39.45,1000,38.93,43.81,46.59
cache,4,3,524288,86.74,86.40,87.02,1000,86.41,92.44,97.73
cache,4,3,1048576,170.44,170.06,170.96,1000,169.01,185.67,194.50
core,2,1,1,0.31,0.09,0.53,1000,0.31,0.34,0.36
core,2,1,2,0.31,0.09,0.54,1000,0.31,0.37,0.38
core,2,1,4,0.31,0.10,0.53,1000,0.31,0.33,0.36
core,2,1,8,0.30,0.08,0.53,1000,0.30,0.37,0.38
core,2,1,16,0.31,0.09,0.53,1000,0.31,0.34,0.36
core,2,1,32,0.36,0.09,0.62,1000,0.35,0.42,0.43
core,2,1,64,0.36,0.10,0.62,1000,0.36,0.42,0.43
core,2,1,128,0.46,0.22,0.70,1000,0.46,0.58,0.60
core,2,1,256,0.50,0.25,0.75,1000,0.48,0.62,0.67
core,2,1,512,0.63,0.27,0.98,1000,0.66,0.73,0.77
core,2,1,1024,0.73,0.38,1.07,1000,0.77,0.84,0.88
core,2,1,2048,0.90,0.52,1.27,1000,0.88,1.04,1.08
core,2,1,4096,1.29,0.84,1.75,1000,1.28,1.42,1.48
core,2,1,8192,2.11,1.47,2.76,1000,2.10,2.25,2.34
core,2,1,16384,4.94,4.74,5.14,1000,4.88,5.15,5.27
core,2,1,32768,5.47,5.27,5.67,1000,5.35,5.73,5.94
core,2,1,65536,6.38,6.18,6.58,1000,6.30,6.67,7.45
core,2,1,131072,10.63,10.49,10.77,1000,10.19,12.06,14.73
core,2,1,262144,27.59,27.51,27.67,1000,27.22,31.07,33.53
core,2,1,524288,64.80,64.73,64.86,1000,64.57,69.34,72.19
core,2,1,1048576,126.05,126.01,126.09,1000,125.27,133.37,137.40
core,3,2,1,0.54,0.21,0.90,1000,0.53,0.62,0.66
core,3,2,2,0.52,0.20,0.86,1000,0.52,0.56,0.58
core,3,2,4,0.54,0.21,0.89,1000,0.53,0.59,0.66
core,3,2,8,0.53,0.20,0.87,1000,0.52,0.57,0.60
core,3,2,16,0.54,0.22,0.88,1000,0.53,0.59,0.66
core,3,2,32,0.59,0.22,0.96,1000,0.58,0.64,0.72
core,3,2,64,0.59,0.22,0.97,1000,0.58,0.66,0.70
core,3,2,128,0.75,0.38,1.03,1000,0.73,0.89,0.96
core,3,2,256,0.77,0.41,1.03,1000,0.73,0.91,0.98
core,3,2,512,0.87,0.51,1.17,1000,0.85,1.08,1.19
core,3,2,1024,0.95,0.54,1.21,1000,0.92,1.16,1.23
core,3,2,2048,1.37,0.93,1.65,1000,1.36,1.56,1.66
core,3,2,4096,1.91,1.47,2.30,1000,1.88,2.13,2.26
core,3,2,8192,3.05,2.60,3.73,1000,3.02,3.32,3.50
core,3,2,16384,5.37,5.26,5.51,1000,5.33,5.57,5.67
core,3,2,32768,5.78,5.64,5.94,1000,5.69,6.52,6.77
core,3,2,65536,8.11,7.95,8.29,1000,7.94,9.40,10.10
core,3,2,131072,12.97,12.83,13.16,1000,12.22,14.74,18.23
core,3,2,262144,27.53,27.40,27.71,1000,27.23,30.47,33.05
core,3,2,524288,67.98,67.85,68.21,1000,67.08,74.83,80.01
core,3,2,1048576,146.46,146.32,146.73,1000,146.13,156.10,161.35
core,4,3,1,0.29,0.26,0.31,1000,0.28,0.35,0.41
core,4,3,2,0.27,0.25,0.31,1000,0.27,0.29,0.31
core,4,3,4,0.29,0.26,0.31,1000,0.28,0.35,0.41
core,4,3,8,0.27,0.25,0.31,1000,0.26,0.29,0.31
core,4,3,16,0.29,0.26,0.31,1000,0.28,0.34,0.42
core,4,3,32,0.30,0.28,0.33,1000,0.29,0.34,0.39
core,4,3,64,0.33,0.30,0.36,1000,0.33,0.38,0.39
core,4,3,128,0.61,0.45,0.72,1000,0.59,0.74,0.80
core,4,3,256,0.62,0.46,0.71,1000,0.62,0.77,0.83
core,4,3,512,0.81,0.60,0.96,1000,0.77,0.97,1.01
core,4,3,1024,0.81,0.65,0.96,1000,0.78,0.98,1.08
core,4,3,2048,1.40,0.93,1.78,1000,1.39,1.62,1.71
core,4,3,4096,2.08,1.36,2.66,1000,2.05,2.30,2.43
core,4,3,8192,3.67,2.27,4.76,1000,3.65,3.94,4.10
core,4,3,16384,4.89,4.26,5.55,1000,4.86,5.19,5.39
core,4,3,32768,5.69,5.14,6.39,1000,5.32,6.42,6.61
core,4,3,65536,7.93,7.42,8.49,1000,7.83,8.60,9.93
core,4,3,131072,16.99,16.71,17.54,1000,16.54,19.48,21.86
core,4,3,262144,41.53,41.06,42.05,1000,40.97,46.98,48.73
core,4,3,524288,99.53,99.18,100.13,1000,98.58,108.30,112.83
core,4,3,1048576,200.78,200.42,201.41,1000,199.12,215.91,224.99
core,5,4,1,0.38,0.37,0.39,1000,0.37,0.42,0.45
core,5,4,2,0.39,0.35,0.41,1000,0.37,0.47,0.50
core,5,4,4,0.36,0.34,0.38,1000,0.35,0.40,0.42
core,5,4,8,0.40,0.39,0.40,1000,0.39,0.47,0.51
core,5,4,16,0.36,0.33,0.39,1000,0.35,0.41,0.43
core,5,4,32,0.48,0.43,0.50,1000,0.45,0.67,0.75
core,5,4,64,0.45,0.41,0.49,1000,0.45,0.50,0.54
core,5,4,128,0.79,0.58,0.98,1000,0.80,0.97,1.01
core,5,4,256,0.90,0.59,1.26,1000,0.88,1.14,1.24
core,5,4,512,1.14,0.69,1.49,1000,1.11,1.44,1.55
core,5,4,1024,1.26,0.82,1.73,1000,1.24,1.51,1.59
core,5,4,2048,1.89,1.08,2.59,1000,1.88,2.19,2.34
core,5,4,4096,2.91,1.59,3.98,1000,2.89,3.22,3.37
core,5,4,8192,5.08,2.57,6.96,1000,4.79,5.66,6.09
core,5,4,16384,3.44,2.84,4.09,1000,3.36,4.03,4.18
core,5,4,32768,5.71,4.48,6.51,1000,5.59,6.81,7.18
core,5,4,65536,9.77,8.50,10.59,1000,9.73,10.22,11.42
core,5,4,131072,19.62,18.97,20.32,1000,19.45,20.75,25.63
core,5,4,262144,50.35,49.82,51.06,1000,49.23,56.73,59.02
core,5,4,524288,119.60,119.16,120.43,1000,118.59,127.73,135.91
core,5,4,1048576,239.79,239.40,240.72,1000,237.58,258.43,268.58
core,6,5,1,0.43,0.42,0.45,1000,0.43,0.46,0.59
core,6,5,2,0.45,0.44,0.47,1000,0.43,0.50,0.57
core,6,5,4,0.45,0.43,0.46,1000,0.43,0.50,0.55
core,6,5,8,0.44,0.43,0.45,1000,0.44,0.49,0.55
core,6,5,16,0.44,0.43,0.46,1000,0.43,0.50,0.55
core,6,5,32,0.53,0.50,0.55,1000,0.51,0.66,0.80
core,6,5,64,0.51,0.49,0.53,1000,0.50,0.59,0.63
core,6,5,128,0.94,0.64,1.12,1000,0.89,1.08,1.19
core,6,5,256,0.90,0.59,1.12,1000,0.88,1.06,1.20
core,6,5,512,1.05,0.71,1.29,1000,1.03,1.29,1.37
core,6,5,1024,1.20,0.81,1.51,1000,1.18,1.46,1.57
core,6,5,2048,1.99,1.07,2.74,1000,1.97,2.26,2.49
core,6,5,4096,3.30,1.64,4.71,1000,3.20,3.83,4.12
core,6,5,8192,6.02,2.71,8.53,1000,6.13,6.83,7.16
core,6,5,16384,5.92,4.52,7.31,1000,5.89,6.76,7.35
core,6,5,32768,9.83,8.33,11.27,1000,9.72,10.73,13.06
core,6,5,65536,17.72,16.11,19.69,1000,17.65,19.05,21.46
core,6,5,131072,34.74,32.73,37.85,1000,34.55,38.82,40.58
core,6,5,262144,84.24,82.10,87.63,1000,83.70,93.97,99.20
core,6,5,524288,188.58,187.74,190.33,1000,187.81,202.82,210.31
core,6,5,1048576,344.15,338.63,358.21,1000,340.60,377.56,391.80
core,7,6,1,0.55,0.53,0.57,1000,0.54,0.66,0.70
core,7,6,2,0.55,0.53,0.57,1000,0.54,0.60,0.63
core,7,6,4,0.55,0.53,0.57,1000,0.54,0.61,0.67
core,7,6,8,0.56,0.55,0.57,1000,0.54,0.60,0.62
core,7,6,16,0.55,0.53,0.57,1000,0.54,0.61,0.66
core,7,6,32,0.67,0.63,0.72,1000,0.63,0.86,0.98
core,7,6,64,0.64,0.61,0.68,1000,0.63,0.72,0.79
core,7,6,128,1.14,0.74,1.44,1000,1.15,1.34,1.45
core,7,6,256,1.13,0.73,1.46,1000,1.09,1.40,1.53
core,7,6,512,1.50,0.86,2.00,1000,1.50,1.79,1.89
core,7,6,1024,1.61,0.97,2.09,1000,1.58,1.91,2.08
core,7,6,2048,2.55,1.26,3.57,1000,2.52,2.95,3.15
core,7,6,4096,4.31,1.92,6.15,1000,4.28,4.71,4.99
core,7,6,8192,7.07,2.97,10.22,1000,6.64,7.83,8.56
core,7,6,16384,6.27,4.72,7.86,1000,6.27,7.05,7.74
core,7,6,32768,11.17,9.10,12.89,1000,11.04,12.32,13.89
core,7,6,65536,20.86,18.95,22.59,1000,20.64,23.82,25.51
core,7,6,131072,43.21,40.28,46.26,1000,42.79,49.48,54.23
core,7,6,262144,97.99,95.27,101.23,1000,97.12,109.84,115.40
core,7,6,524288,222.89,220.47,229.28,1000,221.46,241.67,249.90
core,7,6,1048576,438.02,434.70,440.99,1000,438.82,467.93,478.63
core,8,7,1,0.84,0.46,1.26,1000,0.82,0.89,0.98
core,8,7,2,0.83,0.41,1.22,1000,0.83,0.91,0.96
core,8,7,4,0.86,0.42,1.31,1000,0.84,1.00,1.07
core,8,7,8,0.85,0.40,1.27,1000,0.83,0.97,1.01
core,8,7,16,0.82,0.40,1.24,1000,0.81,0.97,1.03
core,8,7,32,0.93,0.43,1.40,1000,0.91,1.13,1.21
core,8,7,64,0.93,0.52,1.37,1000,0.90,1.11,1.26
core,8,7,128,1.90,0.51,3.04,1000,1.87,2.19,2.34
core,8,7,256,1.92,0.61,3.07,1000,1.89,2.09,2.22
core,8,7,512,2.23,0.62,3.48,1000,2.20,2.46,2.79
core,8,7,1024,2.49,0.84,3.87,1000,2.49,2.73,2.87
core,8,7,2048,3.42,1.08,5.36,1000,3.41,3.71,3.93
core,8,7,4096,4.71,1.52,7.34,1000,4.69,5.01,5.32
core,8,7,8192,7.98,2.62,12.34,1000,7.93,8.40,9.07
core,8,7,16384,6.75,4.52,8.57,1000,6.48,7.39,8.07
core,8,7,32768,13.26,9.64,15.41,1000,13.20,14.56,16.19
core,8,7,65536,26.52,23.01,28.70,1000,26.45,29.17,31.34
core,8,7,131072,54.62,51.06,57.39,1000,54.55,59.84,62.97
core,8,7,262144,119.74,116.84,122.24,1000,119.75,132.99,138.30
core,8,7,524288,263.18,260.92,271.72,1000,261.65,287.66,298.36
core,8,7,1048576,468.78,465.43,481.74,1000,468.04,512.00,526.68
core,9,8,1,1.36,1.07,1.64,1000,1.35,1.47,1.55
core,9,8,2,1.36,1.07,1.63,1000,1.35,1.45,1.61
core,9,8,4,1.35,1.05,1.63,1000,1.34,1.47,1.59
core,9,8,8,1.35,1.05,1.60,1000,1.35,1.51,1.62
core,9,8,16,1.39,1.08,1.69,1000,1.35,1.51,1.65
core,9,8,32,1.45,1.15,1.71,1000,1.43,1.62,1.74
core,9,8,64,1.41,1.08,1.72,1000,1.39,1.53,1.69
core,9,8,128,2.35,1.41,3.05,1000,2.32,2.58,2.74
core,9,8,256,2.37,1.53,3.17,1000,2.36,2.71,2.92
core,9,8,512,2.61,1.65,3.48,1000,2.57,2.99,3.10
core,9,8,1024,2.90,1.81,3.88,1000,2.84,3.28,3.42
core,9,8,2048,4.28,2.04,6.14,1000,4.27,4.66,4.98
core,9,8,4096,5.95,2.49,8.75,1000,5.92,6.37,6.86
core,9,8,8192,9.50,3.44,14.37,1000,9.58,10.59,11.54
core,9,8,16384,7.60,5.45,8.70,1000,7.58,8.67,10.21
core,9,8,32768,14.23,10.83,15.70,1000,14.15,15.76,18.32
core,9,8,65536,27.67,24.23,29.33,1000,27.77,30.52,33.17
core,9,8,131072,57.62,54.27,59.76,1000,57.39,66.10,70.34
core,9,8,262144,131.04,125.54,135.22,1000,130.63,147.78,156.53
core,9,8,524288,279.40,276.20,286.02,1000,276.27,308.95,319.37
core,9,8,1048576,538.46,535.20,543.52,1000,540.51,588.72,606.38
core,10,9,1,1.40,0.51,1.89,1000,1.39,1.51,1.64
core,10,9,2,1.38,0.49,1.85,1000,1.38,1.50,1.63
core,10,9,4,1.40,0.49,1.91,1000,1.39,1.49,1.58
core,10,9,8,1.41,0.52,1.91,1000,1.40,1.50,1.54
core,10,9,16,1.41,0.50,1.90,1000,1.40,1.50,1.57
core,10,9,32,1.48,0.55,1.97,1000,1.47,1.60,1.65
core,10,9,64,1.46,0.53,1.96,1000,1.46,1.60,1.65
core,10,9,128,2.72,0.88,3.95,1000,2.68,2.89,2.97
core,10,9,256,2.83,0.93,4.24,1000,2.74,3.12,3.37
core,10,9,512,3.28,1.17,4.85,1000,3.22,3.63,3.82
core,10,9,1024,3.52,1.21,5.13,1000,3.50,3.89,4.20
core,10,9,2048,5.10,1.74,7.76,1000,5.08,5.45,6.20
core,10,9,4096,7.14,2.17,10.91,1000,7.05,7.72,8.95
core,10,9,8192,10.63,3.11,16.73,1000,10.89,12.03,13.45
core,10,9,16384,8.62,4.74,10.61,1000,8.60,9.36,10.38
core,10,9,32768,16.35,11.60,18.56,1000,16.32,17.66,19.53
core,10,9,65536,31.74,26.81,34.74,1000,31.80,34.72,36.83
core,10,9,131072,67.71,62.07,72.18,1000,67.51,75.44,78.86
core,10,9,262144,143.90,133.08,150.46,1000,144.67,160.37,165.07
core,10,9,524288,274.38,232.98,299.43,1000,272.93,299.52,314.56
core,10,9,1048576,496.91,417.83,535.05,1000,498.10,564.94,601.03
core,11,10,1,1.38,0.42,1.98,1000,1.36,1.50,1.63
core,11,10,2,1.52,0.46,2.20,1000,1.50,1.68,1.80
core,11,10,4,1.52,0.46,2.18,1000,1.51,1.65,1.83
core,11,10,8,1.52,0.43,2.17,1000,1.50,1.67,1.85
core,11,10,16,1.54,0.45,2.18,1000,1.51,1.69,1.88
core,11,10,32,1.63,0.52,2.28,1000,1.60,1.89,1.96
core,11,10,64,1.63,0.54,2.32,1000,1.62,1.82,1.93
core,11,10,128,3.11,0.69,4.53,1000,3.07,3.26,3.54
core,11,10,256,3.18,0.70,4.64,1000,3.15,3.40,3.64
core,11,10,512,3.35,0.72,4.98,1000,3.31,3.70,3.93
core,11,10,1024,3.79,0.97,5.56,1000,3.74,4.27,4.52
core,11,10,2048,5.41,1.29,8.43,1000,5.40,5.81,6.64
core,11,10,4096,7.58,1.79,12.10,1000,7.45,8.04,10.13
core,11,10,8192,11.27,2.83,17.84,1000,10.55,12.43,13.85
core,11,10,16384,8.55,4.36,10.97,1000,8.56,9.74,10.58
core,11,10,32768,16.99,10.18,19.75,1000,16.87,19.33,21.49
core,11,10,65536,33.93,27.12,36.88,1000,33.93,37.25,38.97
core,11,10,131072,74.79,66.51,78.85,1000,75.35,81.90,85.27
core,11,10,262144,159.37,148.38,168.50,1000,159.64,174.88,181.21
core,11,10,524288,341.71,335.60,349.74,1000,343.60,368.55,378.44
core,11,10,1048576,610.13,580.63,636.14,1000,613.53,659.71,678.61
core,12,11,1,1.58,0.44,2.24,1000,1.56,1.74,1.92
core,12,11,2,1.59,0.45,2.27,1000,1.56,1.74,1.90
core,12,11,4,1.58,0.42,2.26,1000,1.56,1.84,2.00
core,12,11,8,1.58,0.47,2.27,1000,1.57,1.75,1.89
core,12,11,16,1.56,0.43,2.25,1000,1.55,1.74,1.87
core,12,11,32,1.75,0.60,2.52,1000,1.69,1.93,2.06
