mapby,p,comm,size,latency,min,max,iterations,p50,p95,p99
cache,2,1,1,0.13,0.07,0.19,1000,0.13,0.14,0.15
cache,2,1,2,0.13,0.07,0.19,1000,0.13,0.14,0.14
cache,2,1,4,0.15,0.08,0.22,1000,0.14,0.18,0.19
cache,2,1,8,0.13,0.07,0.19,1000,0.13,0.14,0.15
cache,2,1,16,0.15,0.08,0.22,1000,0.15,0.18,0.19
cache,2,1,32,0.15,0.07,0.22,1000,0.14,0.18,0.19
cache,2,1,64,0.15,0.07,0.23,1000,0.14,0.18,0.19
cache,2,1,128,0.18,0.12,0.25,1000,0.18,0.21,0.22
cache,2,1,256,0.21,0.12,0.29,1000,0.20,0.23,0.26
cache,2,1,512,0.23,0.13,0.33,1000,0.23,0.26,0.28
cache,2,1,1024,0.25,0.13,0.38,1000,0.25,0.28,0.29
cache,2,1,2048,0.32,0.16,0.48,1000,0.32,0.36,0.41
cache,2,1,4096,0.42,0.24,0.60,1000,0.41,0.46,0.50
cache,2,1,8192,0.63,0.38,0.87,1000,0.62,0.67,0.75
cache,2,1,16384,1.06,0.72,1.40,1000,0.98,1.10,3.91
cache,2,1,32768,1.87,1.32,2.42,1000,1.84,2.00,2.21
cache,2,1,65536,3.42,2.49,4.35,1000,3.38,3.57,4.02
cache,2,1,131072,6.16,4.38,7.94,1000,6.16,6.50,7.30
cache,2,1,262144,34.26,29.17,39.35,1000,33.57,37.21,41.16
cache,2,1,524288,72.02,59.66,84.38,1000,72.14,77.86,80.44
cache,2,1,1048576,143.41,116.67,170.16,1000,143.25,153.05,158.14
cache,3,2,1,0.16,0.10,0.28,1000,0.16,0.19,0.20
cache,3,2,2,0.17,0.10,0.31,1000,0.16,0.21,0.22
cache,3,2,4,0.16,0.10,0.30,1000,0.16,0.19,0.21
cache,3,2,8,0.16,0.10,0.30,1000,0.16,0.19,0.21
cache,3,2,16,0.17,0.10,0.31,1000,0.17,0.21,0.22
cache,3,2,32,0.17,0.10,0.30,1000,0.16,0.20,0.22
cache,3,2,64,0.16,0.10,0.28,1000,0.16,0.18,0.21
cache,3,2,128,0.23,0.16,0.36,1000,0.22,0.27,0.29
cache,3,2,256,0.23,0.16,0.38,1000,0.22,0.28,0.29
cache,3,2,512,0.24,0.16,0.39,1000,0.23,0.25,0.28
cache,3,2,1024,0.27,0.17,0.46,1000,0.26,0.31,0.33
cache,3,2,2048,0.32,0.20,0.57,1000,0.32,0.34,0.36
cache,3,2,4096,0.44,0.28,0.76,1000,0.42,0.51,0.53
cache,3,2,8192,0.64,0.35,1.14,1000,0.63,0.76,0.84
cache,3,2,16384,1.22,0.76,2.11,1000,1.20,1.39,1.45
cache,3,2,32768,2.53,1.63,4.31,1000,2.52,2.92,3.08
cache,3,2,65536,5.03,3.29,8.49,1000,5.15,5.74,5.93
cache,3,2,131072,8.95,5.36,16.05,1000,8.88,10.85,11.83
cache,3,2,262144,51.76,27.95,72.61,1000,50.82,58.00,59.09
cache,3,2,524288,98.32,50.59,140.51,1000,97.61,102.35,108.91
cache,3,2,1048576,192.11,97.54,275.26,1000,190.56,198.85,209.59
cache,4,3,1,0.20,0.10,0.49,1000,0.19,0.26,0.31
cache,4,3,2,0.20,0.10,0.49,1000,0.19,0.26,0.30
cache,4,3,4,0.20,0.10,0.48,1000,0.19,0.26,0.31
cache,4,3,8,0.20,0.10,0.48,1000,0.19,0.26,0.30
cache,4,3,16,0.20,0.10,0.48,1000,0.19,0.25,0.31
cache,4,3,32,0.20,0.10,0.48,1000,0.19,0.25,0.30
cache,4,3,64,0.20,0.10,0.49,1000,0.19,0.26,0.33
cache,4,3,128,0.26,0.15,0.59,1000,0.25,0.33,0.38
cache,4,3,256,0.27,0.15,0.61,1000,0.26,0.33,0.37
cache,4,3,512,0.29,0.16,0.67,1000,0.28,0.35,0.42
cache,4,3,1024,0.31,0.17,0.72,1000,0.30,0.38,0.43
cache,4,3,2048,0.38,0.20,0.92,1000,0.38,0.46,0.51
cache,4,3,4096,0.66,0.32,1.66,1000,0.56,0.65,0.70
cache,4,3,8192,0.86,0.48,1.91,1000,0.85,0.96,1.02
cache,4,3,16384,1.66,0.85,3.73,1000,1.68,1.86,1.95
cache,4,3,32768,3.19,1.89,7.01,1000,3.26,3.61,3.85
cache,4,3,65536,6.21,3.85,13.24,1000,6.40,7.40,7.83
cache,4,3,131072,11.62,6.90,25.66,1000,11.68,13.83,16.43
cache,4,3,262144,71.46,28.16,108.98,1000,70.71,77.67,83.40
cache,4,3,524288,136.28,52.35,210.84,1000,135.29,144.29,148.90
cache,4,3,1048576,283.18,100.98,439.21,1000,280.31,294.44,303.55
core,2,1,1,0.30,0.08,0.51,1000,0.29,0.33,0.35
core,2,1,2,0.29,0.08,0.51,1000,0.29,0.33,0.34
core,2,1,4,0.29,0.07,0.51,1000,0.29,0.30,0.36
core,2,1,8,0.29,0.08,0.51,1000,0.29,0.32,0.34
core,2,1,16,0.29,0.08,0.51,1000,0.29,0.32,0.33
core,2,1,32,0.34,0.09,0.58,1000,0.33,0.39,0.42
core,2,1,64,0.33,0.08,0.58,1000,0.33,0.39,0.40
core,2,1,128,0.40,0.17,0.64,1000,0.41,0.48,0.55
core,2,1,256,0.43,0.20,0.67,1000,0.43,0.49,0.61
core,2,1,512,0.50,0.23,0.78,1000,0.50,0.61,0.67
core,2,1,1024,0.56,0.26,0.85,1000,0.53,0.65,0.69
core,2,1,2048,0.83,0.37,1.28,1000,0.82,0.92,0.96
core,2,1,4096,1.15,0.67,1.63,1000,1.13,1.26,1.33
core,2,1,8192,1.90,1.24,2.55,1000,1.87,2.02,2.09
core,2,1,16384,3.40,2.66,4.14,1000,3.31,3.76,5.59
core,2,1,32768,6.66,5.70,7.63,1000,6.34,7.51,8.14
core,2,1,65536,11.91,10.61,13.21,1000,11.81,12.90,14.95
core,2,1,131072,23.28,21.21,25.35,1000,23.14,24.77,26.17
core,2,1,262144,37.17,31.50,42.84,1000,36.49,40.17,42.18
core,2,1,524288,77.71,66.86,88.56,1000,77.42,85.32,88.97
core,2,1,1048576,165.04,139.68,190.40,1000,164.69,174.59,178.86
core,3,2,1,0.19,0.09,0.37,1000,0.20,0.26,0.28
core,3,2,2,0.19,0.09,0.37,1000,0.20,0.24,0.28
core,3,2,4,0.19,0.10,0.37,1000,0.20,0.26,0.28
core,3,2,8,0.19,0.09,0.35,1000,0.19,0.24,0.28
core,3,2,16,0.20,0.10,0.38,1000,0.20,0.27,0.30
core,3,2,32,0.21,0.11,0.39,1000,0.20,0.27,0.29
core,3,2,64,0.21,0.11,0.41,1000,0.20,0.27,0.29
core,3,2,128,0.30,0.21,0.49,1000,0.30,0.38,0.46
core,3,2,256,0.35,0.23,0.57,1000,0.34,0.42,0.48
core,3,2,512,0.41,0.26,0.70,1000,0.41,0.48,0.53
core,3,2,1024,0.46,0.30,0.77,1000,0.45,0.52,0.57
core,3,2,2048,0.63,0.43,1.00,1000,0.62,0.70,0.76
core,3,2,4096,0.96,0.71,1.43,1000,0.95,1.07,1.34
core,3,2,8192,1.80,1.58,2.23,1000,1.79,1.97,2.10
core,3,2,16384,4.04,3.50,5.06,1000,4.00,4.39,4.87
core,3,2,32768,8.43,7.10,11.01,1000,8.38,9.01,9.49
core,3,2,65536,17.02,14.30,22.40,1000,16.94,17.87,19.51
core,3,2,131072,34.74,28.91,46.20,1000,34.48,37.32,38.66
core,3,2,262144,57.99,32.92,79.81,1000,57.02,63.89,66.15
core,3,2,524288,125.40,67.97,176.23,1000,124.20,131.81,136.71
core,3,2,1048576,253.76,139.91,349.23,1000,249.67,260.36,281.80
core,4,3,1,0.32,0.11,0.93,1000,0.31,0.39,0.45
core,4,3,2,0.31,0.11,0.92,1000,0.31,0.39,0.45
core,4,3,4,0.32,0.11,0.94,1000,0.32,0.40,0.47
core,4,3,8,0.31,0.11,0.92,1000,0.31,0.38,0.44
core,4,3,16,0.32,0.11,0.92,1000,0.31,0.39,0.46
core,4,3,32,0.34,0.12,1.00,1000,0.33,0.42,0.46
core,4,3,64,0.33,0.12,0.96,1000,0.32,0.41,0.51
core,4,3,128,0.50,0.24,1.28,1000,0.49,0.59,0.69
core,4,3,256,0.57,0.25,1.50,1000,0.57,0.66,0.72
core,4,3,512,0.63,0.28,1.64,1000,0.63,0.72,0.76
core,4,3,1024,0.67,0.31,1.72,1000,0.65,0.81,0.88
core,4,3,2048,0.97,0.45,2.48,1000,0.95,1.11,1.24
core,4,3,4096,1.85,1.18,3.75,1000,1.83,2.06,2.38
core,4,3,8192,3.29,2.37,5.98,1000,3.24,3.57,3.90
core,4,3,16384,6.38,4.90,10.72,1000,6.33,6.87,7.49
core,4,3,32768,12.33,9.81,19.65,1000,12.24,13.34,15.37
core,4,3,65536,24.09,19.53,37.26,1000,23.89,25.94,27.82
core,4,3,131072,47.58,38.90,73.10,1000,47.22,51.14,52.98
core,4,3,262144,80.91,36.12,119.48,1000,79.69,90.36,93.55
core,4,3,524288,169.91,71.86,253.73,1000,168.31,179.43,185.42
core,4,3,1048576,350.77,144.03,524.42,1000,348.82,362.53,368.70
core,5,4,1,0.31,0.11,1.04,1000,0.30,0.37,0.41
core,5,4,2,0.31,0.12,1.04,1000,0.30,0.39,0.45
core,5,4,4,0.32,0.12,1.07,1000,0.31,0.39,0.44
core,5,4,8,0.31,0.11,1.05,1000,0.30,0.37,0.42
core,5,4,16,0.31,0.11,1.07,1000,0.31,0.38,0.42
core,5,4,32,0.33,0.12,1.09,1000,0.32,0.42,0.46
core,5,4,64,0.31,0.14,0.94,1000,0.29,0.39,0.44
core,5,4,128,0.52,0.28,1.41,1000,0.51,0.60,0.84
core,5,4,256,0.59,0.31,1.68,1000,0.59,0.69,0.73
core,5,4,512,0.66,0.34,1.88,1000,0.65,0.76,0.85
core,5,4,1024,0.71,0.34,2.02,1000,0.70,0.81,0.92
core,5,4,2048,1.12,0.60,2.94,1000,1.11,1.29,1.49
core,5,4,4096,2.07,1.31,4.50,1000,2.05,2.32,2.61
core,5,4,8192,4.22,2.98,8.23,1000,3.94,5.16,5.74
