mapby,size,latency,iterations,p50,p95,p99,recv
cache,1,0.14,1000,0.14,0.15,0.16,1
cache,2,0.15,1000,0.15,0.16,0.16,1
cache,4,0.14,1000,0.15,0.15,0.16,1
cache,8,0.14,1000,0.14,0.15,0.16,1
cache,16,0.14,1000,0.15,0.15,0.16,1
cache,32,0.15,1000,0.15,0.16,0.16,1
cache,64,0.15,1000,0.15,0.16,0.16,1
cache,128,0.19,1000,0.19,0.22,0.22,1
cache,256,0.20,1000,0.20,0.23,0.25,1
cache,512,0.27,1000,0.25,0.28,0.29,1
cache,1024,0.27,1000,0.27,0.31,0.33,1
cache,2048,0.41,1000,0.32,0.35,0.36,1
cache,4096,0.41,1000,0.41,0.45,0.49,1
cache,8192,0.58,1000,0.58,0.61,0.63,1
cache,16384,1.05,1000,1.02,1.25,1.31,1
cache,32768,1.77,1000,1.71,2.08,2.15,1
cache,65536,3.14,1000,3.05,3.69,3.79,1
cache,131072,5.80,1000,5.59,6.82,7.12,1
cache,262144,22.12,1000,21.38,23.68,24.44,1
cache,524288,44.38,1000,43.06,46.28,51.48,1
cache,1048576,85.70,1000,83.92,90.52,171.91,1
cache,2097152,170.96,1000,168.02,177.57,185.69,1
cache,4194304,347.30,1000,339.94,441.42,450.47,1
cache,1,0.15,1000,0.15,0.15,0.16,2
cache,2,0.15,1000,0.15,0.15,0.16,2
cache,4,0.15,1000,0.15,0.15,0.16,2
cache,8,0.15,1000,0.15,0.15,0.16,2
cache,16,0.15,1000,0.15,0.15,0.15,2
cache,32,0.15,1000,0.15,0.18,0.18,2
cache,64,0.15,1000,0.15,0.16,0.16,2
cache,128,0.20,1000,0.19,0.23,0.24,2
cache,256,0.20,1000,0.20,0.23,0.25,2
cache,512,0.30,1000,0.26,0.30,0.32,2
cache,1024,0.27,1000,0.27,0.31,0.33,2
cache,2048,0.32,1000,0.32,0.35,0.36,2
cache,4096,0.41,1000,0.40,0.45,0.49,2
cache,8192,0.58,1000,0.57,0.62,0.69,2
cache,16384,1.02,1000,1.01,1.09,1.13,2
cache,32768,1.69,1000,1.68,1.76,2.00,2
cache,65536,3.00,1000,2.99,3.12,3.69,2
cache,131072,5.73,1000,5.48,6.38,7.01,2
cache,262144,22.25,1000,21.44,24.19,26.46,2
cache,524288,44.84,1000,43.65,48.08,50.45,2
cache,1048576,85.78,1000,84.40,88.29,165.19,2
cache,2097152,171.89,1000,169.30,176.50,268.72,2
cache,4194304,350.29,1000,342.38,445.04,454.11,2
cache,1,0.15,1000,0.15,0.15,0.16,3
cache,2,0.15,1000,0.15,0.16,0.16,3
cache,4,0.15,1000,0.15,0.15,0.16,3
cache,8,0.15,1000,0.15,0.15,0.16,3
cache,16,0.15,1000,0.15,0.15,0.15,3
cache,32,0.15,1000,0.15,0.16,0.16,3
cache,64,0.15,1000,0.15,0.16,0.16,3
cache,128,0.19,1000,0.19,0.22,0.22,3
cache,256,0.20,1000,0.20,0.23,0.25,3
cache,512,0.25,1000,0.26,0.29,0.29,3
cache,1024,0.26,1000,0.27,0.29,0.30,3
cache,2048,0.31,1000,0.31,0.34,0.36,3
cache,4096,0.41,1000,0.41,0.47,0.50,3
cache,8192,0.60,1000,0.57,0.70,0.72,3
cache,16384,1.06,1000,1.03,1.26,1.31,3
cache,32768,1.79,1000,1.72,2.11,2.17,3
cache,65536,3.11,1000,3.03,3.71,3.79,3
cache,131072,5.74,1000,5.62,6.85,7.12,3
cache,262144,22.13,1000,21.25,23.28,25.82,3
cache,524288,44.02,1000,43.08,45.28,47.97,3
cache,1048576,85.57,1000,84.82,89.71,93.67,3
cache,2097152,174.88,1000,170.82,180.44,275.03,3
cache,4194304,354.28,1000,345.53,449.00,457.88,3
core,1,0.32,1000,0.31,0.32,0.36,4
core,2,0.43,1000,0.32,0.36,0.39,4
core,4,0.35,1000,0.35,0.35,0.40,4
core,8,0.35,1000,0.35,0.35,0.40,4
core,16,0.35,1000,0.35,0.38,0.40,4
core,32,0.44,1000,0.45,0.45,0.45,4
core,64,0.44,1000,0.45,0.45,0.45,4
core,128,0.50,1000,0.49,0.61,0.62,4
core,256,0.51,1000,0.50,0.63,0.63,4
core,512,0.73,1000,0.75,0.89,0.90,4
core,1024,0.79,1000,0.80,0.94,1.01,4
core,2048,1.02,1000,1.01,1.19,1.27,4
core,4096,1.50,1000,1.48,1.64,1.75,4
core,8192,2.58,1000,2.54,2.77,2.92,4
core,16384,3.91,1000,3.70,4.39,4.61,4
core,32768,6.21,1000,6.18,6.55,7.66,4
core,65536,11.49,1000,11.47,12.07,13.24,4
core,131072,22.13,1000,21.94,23.36,24.26,4
core,262144,24.82,1000,24.43,26.75,28.29,4
core,524288,59.52,1000,60.76,65.52,67.97,4
core,1048576,116.34,1000,119.53,124.85,127.22,4
core,2097152,228.18,1000,236.78,247.90,254.18,4
core,4194304,441.42,1000,424.80,487.02,532.71,4
core,1,0.33,1000,0.31,0.32,0.36,5
core,2,0.31,1000,0.31,0.31,0.36,5
core,4,0.31,1000,0.31,0.32,0.36,5
core,8,0.31,1000,0.31,0.34,0.36,5
core,16,0.31,1000,0.31,0.34,0.36,5
core,32,0.39,1000,0.40,0.40,0.41,5
core,64,0.39,1000,0.40,0.40,0.40,5
core,128,0.46,1000,0.44,0.53,0.55,5
core,256,0.46,1000,0.44,0.56,0.60,5
core,512,0.67,1000,0.67,0.79,0.84,5
core,1024,0.70,1000,0.70,0.82,0.84,5
core,2048,0.92,1000,0.90,1.07,1.14,5
core,4096,1.31,1000,1.29,1.45,1.56,5
core,8192,2.20,1000,2.18,2.35,2.45,5
core,16384,3.54,1000,3.51,3.82,3.98,5
core,32768,6.32,1000,6.27,6.89,8.20,5
core,65536,11.56,1000,11.54,12.13,13.53,5
core,131072,22.31,1000,22.19,23.46,24.39,5
core,262144,25.10,1000,24.50,27.30,29.16,5
core,524288,63.14,1000,62.85,65.63,67.31,5
core,1048576,111.85,1000,107.68,123.73,126.69,5
core,2097152,227.83,1000,215.84,246.59,287.77,5
core,4194304,438.88,1000,422.43,485.97,532.97,5
core,1,0.36,1000,0.35,0.41,0.45,6
core,2,0.35,1000,0.35,0.38,0.40,6
core,4,0.35,1000,0.35,0.36,0.40,6
core,8,0.35,1000,0.35,0.38,0.40,6
core,16,0.35,1000,0.35,0.38,0.40,6
core,32,0.45,1000,0.45,0.46,0.48,6
core,64,0.44,1000,0.45,0.45,0.45,6
core,128,0.50,1000,0.49,0.61,0.62,6
core,256,0.51,1000,0.50,0.62,0.75,6
core,512,0.75,1000,0.76,0.89,0.90,6
core,1024,0.79,1000,0.80,0.93,0.95,6
core,2048,1.08,1000,1.07,1.23,1.28,6
core,4096,1.51,1000,1.49,1.64,1.72,6
core,8192,2.56,1000,2.54,2.72,2.80,6
core,16384,3.97,1000,3.92,4.36,4.70,6
core,32768,6.25,1000,6.23,6.57,7.72,6
core,65536,11.56,1000,11.48,12.11,13.47,6
core,131072,22.14,1000,22.14,23.08,24.15,6
core,262144,24.57,1000,24.26,26.20,27.54,6
core,524288,58.72,1000,59.82,64.56,67.65,6
core,1048576,115.68,1000,118.28,123.60,127.65,6
core,2097152,224.41,1000,213.64,247.02,253.56,6
core,4194304,445.50,1000,424.63,487.52,523.77,6
core,1,0.32,1000,0.31,0.34,0.36,7
core,2,0.32,1000,0.31,0.34,0.36,7
core,4,0.31,1000,0.31,0.34,0.36,7
core,8,0.31,1000,0.31,0.32,0.36,7
core,16,0.31,1000,0.31,0.32,0.36,7
core,32,0.40,1000,0.40,0.43,0.44,7
core,64,0.40,1000,0.40,0.43,0.44,7
core,128,0.45,1000,0.44,0.50,0.55,7
core,256,0.46,1000,0.45,0.56,0.57,7
core,512,0.62,1000,0.58,0.79,0.80,7
core,1024,0.67,1000,0.68,0.83,0.86,7
core,2048,0.91,1000,0.91,1.04,1.08,7
core,4096,1.32,1000,1.31,1.45,1.52,7
core,8192,2.20,1000,2.18,2.32,2.41,7
core,16384,3.89,1000,3.58,4.26,5.37,7
core,32768,6.15,1000,6.12,6.49,7.84,7
core,65536,11.42,1000,11.37,11.90,13.40,7
core,131072,21.91,1000,21.80,22.88,23.94,7
core,262144,24.96,1000,24.15,27.44,29.58,7
core,524288,62.47,1000,62.24,64.66,66.79,7
core,1048576,110.70,1000,106.69,123.66,126.65,7
core,2097152,228.42,1000,217.68,247.12,256.42,7
core,4194304,461.74,1000,479.29,490.96,495.96,7
core,1,0.35,1000,0.34,0.35,0.40,8
core,2,0.34,1000,0.34,0.35,0.40,8
core,4,0.34,1000,0.34,0.37,0.40,8
core,8,0.34,1000,0.34,0.35,0.40,8
core,16,0.35,1000,0.34,0.35,0.40,8
core,32,0.44,1000,0.44,0.45,0.45,8
core,64,0.44,1000,0.44,0.45,0.51,8
core,128,0.50,1000,0.48,0.57,0.62,8
core,256,0.51,1000,0.49,0.62,0.63,8
core,512,0.70,1000,0.69,0.88,0.90,8
core,1024,0.75,1000,0.72,0.93,0.95,8
core,2048,1.09,1000,1.08,1.23,1.30,8
core,4096,1.49,1000,1.47,1.62,1.74,8
core,8192,2.56,1000,2.54,2.73,2.91,8
core,16384,4.12,1000,4.07,4.48,4.80,8
core,32768,7.12,1000,7.06,7.55,8.88,8
core,65536,12.42,1000,11.87,13.89,14.99,8
core,131072,21.80,1000,21.60,22.92,24.10,8
core,262144,26.69,1000,26.40,28.70,30.83,8
core,524288,62.91,1000,62.58,65.66,67.07,8
core,1048576,123.40,1000,123.19,127.55,129.51,8
core,2097152,245.09,1000,243.30,250.79,255.32,8
core,4194304,481.25,1000,480.48,491.60,497.54,8
core,1,0.34,1000,0.34,0.34,0.40,9
core,2,0.34,1000,0.34,0.35,0.40,9
core,4,0.34,1000,0.34,0.35,0.39,9
core,8,0.34,1000,0.34,0.34,0.39,9
core,16,0.34,1000,0.34,0.34,0.39,9
core,32,0.43,1000,0.44,0.44,0.45,9
core,64,0.44,1000,0.44,0.45,0.48,9
core,128,0.49,1000,0.48,0.55,0.61,9
core,256,0.50,1000,0.49,0.61,0.74,9
core,512,0.72,1000,0.75,0.88,0.89,9
core,1024,0.76,1000,0.78,0.92,0.95,9
core,2048,1.00,1000,1.00,1.17,1.22,9
core,4096,1.48,1000,1.47,1.64,1.71,9
core,8192,2.55,1000,2.53,2.71,2.85,9
core,16384,4.08,1000,4.05,4.36,4.60,9
core,32768,7.16,1000,7.12,7.63,8.93,9
core,65536,12.24,1000,11.63,13.57,15.05,9
core,131072,21.66,1000,21.57,22.81,23.60,9
core,262144,27.12,1000,26.82,29.75,31.30,9
core,524288,62.41,1000,62.04,65.71,68.06,9
core,1048576,122.29,1000,121.96,126.33,129.94,9
core,2097152,245.14,1000,243.38,250.91,256.34,9
