algorithm,cores,iterations,size,latency,min,max
0,2,1000,1,0.15,0.07,0.23
0,2,1000,2,0.39,0.34,0.44
0,2,1000,4,0.39,0.34,0.44
0,2,1000,8,0.17,0.08,0.25
0,2,1000,16,0.17,0.08,0.26
0,2,1000,32,0.14,0.07,0.21
0,2,1000,64,0.14,0.07,0.21
0,2,1000,128,0.22,0.12,0.33
0,2,1000,256,0.23,0.12,0.34
0,2,1000,512,0.25,0.13,0.37
0,2,1000,1024,0.28,0.14,0.42
0,2,1000,2048,0.33,0.18,0.48
0,2,1000,4096,0.44,0.25,0.62
0,2,1000,8192,0.63,0.38,0.87
0,2,1000,16384,1.08,0.74,1.42
0,2,1000,32768,2.00,1.46,2.53
0,2,1000,65536,3.64,2.77,4.50
0,2,1000,131072,6.58,4.95,8.21
0,2,1000,262144,28.20,23.84,32.56
0,2,1000,524288,54.34,44.62,64.06
0,2,1000,1048576,104.95,85.37,124.53
0,6,1000,1,0.60,0.10,1.15
0,6,1000,2,0.59,0.10,1.12
0,6,1000,4,0.59,0.10,1.13
0,6,1000,8,0.59,0.10,1.13
0,6,1000,16,0.59,0.11,1.12
0,6,1000,32,0.64,0.11,1.20
0,6,1000,64,0.62,0.11,1.14
0,6,1000,128,0.72,0.15,1.30
0,6,1000,256,0.74,0.16,1.31
0,6,1000,512,0.78,0.16,1.38
0,6,1000,1024,0.89,0.18,1.60
0,6,1000,2048,1.20,0.21,2.11
0,6,1000,4096,2.79,0.36,4.18
0,6,1000,8192,4.33,0.47,6.59
0,6,1000,16384,7.08,0.76,10.66
0,6,1000,32768,13.89,1.47,21.16
0,6,1000,65536,9.74,2.76,20.53
0,6,1000,131072,18.37,5.00,39.21
0,6,1000,262144,118.55,35.60,191.73
0,6,1000,524288,147.00,73.34,247.63
0,6,1000,1048576,495.96,148.81,793.38
0,10,1000,1,0.78,0.20,1.74
0,10,1000,2,0.77,0.20,1.71
0,10,1000,4,0.77,0.20,1.70
0,10,1000,8,0.77,0.20,1.69
0,10,1000,16,0.77,0.21,1.69
0,10,1000,32,0.83,0.20,1.79
0,10,1000,64,0.99,0.22,2.15
0,10,1000,128,1.14,0.31,2.39
0,10,1000,256,1.16,0.35,2.37
0,10,1000,512,1.30,0.38,2.68
0,10,1000,1024,1.50,0.44,3.06
0,10,1000,2048,2.09,0.66,3.93
0,10,1000,4096,3.19,1.26,5.59
0,10,1000,8192,1.82,0.47,5.39
0,10,1000,16384,3.30,0.88,9.37
0,10,1000,32768,6.42,1.60,17.36
0,10,1000,65536,11.10,2.84,29.86
0,10,1000,131072,21.20,4.94,57.35
0,10,1000,262144,87.47,33.83,179.54
0,10,1000,524288,180.18,79.76,369.33
0,10,1000,1048576,364.54,127.08,741.98
0,14,1000,1,0.68,0.09,1.96
0,14,1000,2,0.66,0.10,1.58
0,14,1000,4,0.66,0.09,1.60
0,14,1000,8,0.68,0.10,1.64
0,14,1000,16,0.68,0.10,1.62
0,14,1000,32,0.74,0.10,1.74
0,14,1000,64,0.73,0.11,1.73
0,14,1000,128,0.99,0.22,2.32
0,14,1000,256,1.01,0.23,2.32
0,14,1000,512,1.16,0.25,2.80
0,14,1000,1024,1.35,0.32,3.18
0,14,1000,2048,2.12,0.64,4.67
0,14,1000,4096,3.92,0.98,7.80
0,14,1000,8192,1.80,0.45,6.48
0,14,1000,16384,3.47,0.83,11.29
0,14,1000,32768,6.33,1.56,19.76
0,14,1000,65536,12.15,2.75,36.08
0,14,1000,131072,24.37,5.02,72.35
0,14,1000,262144,100.48,40.16,216.34
0,14,1000,524288,208.13,98.36,421.88
0,14,1000,1048576,413.66,123.13,839.84
0,18,1000,1,0.99,0.20,2.50
0,18,1000,2,1.00,0.20,2.46
0,18,1000,4,0.98,0.21,2.45
0,18,1000,8,1.00,0.21,2.51
0,18,1000,16,1.00,0.21,2.50
0,18,1000,32,1.09,0.22,2.71
0,18,1000,64,1.09,0.22,2.71
0,18,1000,128,1.37,0.34,3.29
0,18,1000,256,1.41,0.38,3.33
0,18,1000,512,1.60,0.41,3.76
0,18,1000,1024,1.82,0.47,4.13
0,18,1000,2048,2.77,0.77,5.69
0,18,1000,4096,1.44,0.32,5.16
0,18,1000,8192,2.10,0.40,7.94
0,18,1000,16384,3.86,0.71,14.00
0,18,1000,32768,7.68,1.56,27.31
0,18,1000,65536,13.26,2.79,46.15
0,18,1000,131072,30.58,5.07,108.77
0,18,1000,262144,102.05,30.35,251.26
0,18,1000,524288,224.26,58.26,516.73
0,18,1000,1048576,415.63,127.65,994.48
0,22,1000,1,1.01,0.21,2.01
0,22,1000,2,1.03,0.21,2.06
0,22,1000,4,1.02,0.20,2.07
0,22,1000,8,1.03,0.20,2.10
0,22,1000,16,1.03,0.20,2.11
0,22,1000,32,1.10,0.22,2.25
0,22,1000,64,1.10,0.24,2.25
0,22,1000,128,1.47,0.33,3.20
0,22,1000,256,1.50,0.35,3.23
0,22,1000,512,1.67,0.39,3.63
0,22,1000,1024,1.99,0.44,4.38
0,22,1000,2048,3.28,0.69,6.87
0,22,1000,4096,1.38,0.35,5.51
0,22,1000,8192,2.14,0.43,8.98
0,22,1000,16384,3.99,0.83,15.53
0,22,1000,32768,8.00,1.52,28.98
0,22,1000,65536,17.11,2.83,64.19
0,22,1000,131072,30.21,5.16,111.90
0,22,1000,262144,99.75,29.63,254.50
0,22,1000,524288,233.54,57.14,588.66
0,22,1000,1048576,486.66,134.54,1193.46
0,26,1000,1,0.90,0.08,2.21
0,26,1000,2,0.91,0.10,2.24
0,26,1000,4,0.91,0.10,2.23
0,26,1000,8,0.91,0.09,2.18
0,26,1000,16,0.91,0.11,2.20
0,26,1000,32,0.98,0.13,2.46
0,26,1000,64,1.01,0.10,2.55
0,26,1000,128,1.36,0.22,3.54
0,26,1000,256,1.40,0.26,3.61
0,26,1000,512,1.62,0.26,4.37
0,26,1000,1024,1.94,0.36,4.92
0,26,1000,2048,3.39,0.66,7.67
0,26,1000,4096,1.31,0.33,5.72
0,26,1000,8192,2.04,0.44,9.24
0,26,1000,16384,3.80,0.79,16.26
0,26,1000,32768,9.13,1.53,35.83
0,26,1000,65536,16.91,2.66,72.53
0,26,1000,131072,30.63,5.03,115.60
0,26,1000,262144,113.41,42.72,272.12
0,26,1000,524288,204.56,57.90,520.54
0,26,1000,1048576,521.78,135.45,1375.39
0,30,1000,1,0.80,0.12,2.45
0,30,1000,2,0.81,0.08,2.50
0,30,1000,4,0.81,0.12,2.53
0,30,1000,8,0.81,0.10,2.46
0,30,1000,16,0.80,0.11,2.44
0,30,1000,32,0.87,0.12,2.70
0,30,1000,64,0.91,0.14,2.85
0,30,1000,128,1.23,0.22,3.75
0,30,1000,256,1.31,0.26,5.00
0,30,1000,512,1.50,0.30,5.57
0,30,1000,1024,1.97,0.38,6.38
0,30,1000,2048,3.60,0.65,8.50
0,30,1000,4096,1.42,0.36,6.79
0,30,1000,8192,2.90,0.44,12.95
0,30,1000,16384,4.96,0.78,21.47
0,30,1000,32768,9.11,1.51,42.68
0,30,1000,65536,15.68,2.65,64.64
0,30,1000,131072,31.03,5.01,120.59
0,30,1000,262144,122.80,30.74,310.60
0,30,1000,524288,253.19,94.06,614.68
0,30,1000,1048576,536.05,252.10,1270.89
0,34,1000,1,0.66,0.21,2.55
0,34,1000,2,1.35,0.22,4.83
0,34,1000,4,0.68,0.21,2.61
0,34,1000,8,0.68,0.22,2.59
0,34,1000,16,2.15,0.21,6.00
0,34,1000,32,0.85,0.21,3.31
