algorithm,cores,iterations,size,latency,min,max
0,2,1000,1,1.79,0.09,3.49
0,2,1000,2,2.30,0.66,3.93
0,2,1000,4,2.29,0.65,3.92
0,2,1000,8,1.78,0.10,3.47
0,2,1000,16,1.77,0.10,3.44
0,2,1000,32,1.84,0.08,3.59
0,2,1000,64,2.27,0.09,4.45
0,2,1000,128,2.29,0.09,4.49
0,2,1000,256,2.62,0.22,5.02
0,2,1000,512,2.82,0.37,5.27
0,2,1000,1024,3.20,0.64,5.75
0,2,1000,2048,2.97,0.15,5.80
0,2,1000,4096,3.37,0.19,6.55
0,2,1000,8192,3.85,0.26,7.44
0,2,1000,16384,4.34,0.65,8.04
0,2,1000,32768,6.04,1.29,10.80
0,2,1000,65536,8.35,2.52,14.18
0,2,1000,131072,13.32,4.99,21.64
0,2,1000,262144,37.07,29.82,44.32
0,2,1000,524288,65.79,51.35,80.24
0,2,1000,1048576,124.74,95.34,154.13
0,6,1000,1,1.37,0.23,4.22
0,6,1000,2,1.35,0.23,4.15
0,6,1000,4,1.34,0.23,4.16
0,6,1000,8,1.36,0.23,4.18
0,6,1000,16,1.35,0.23,4.16
0,6,1000,32,1.40,0.25,4.25
0,6,1000,64,1.53,0.25,5.09
0,6,1000,128,1.69,0.36,5.36
0,6,1000,256,1.86,0.39,5.91
0,6,1000,512,2.04,0.42,6.31
0,6,1000,1024,2.17,0.44,6.71
0,6,1000,2048,2.71,0.59,7.85
0,6,1000,4096,12.78,0.23,24.71
0,6,1000,8192,14.33,0.29,27.50
0,6,1000,16384,17.97,0.66,34.23
0,6,1000,32768,25.90,1.30,48.30
0,6,1000,65536,20.79,2.46,43.74
0,6,1000,131072,41.04,5.08,85.14
0,6,1000,262144,126.18,30.32,214.29
0,6,1000,524288,216.98,120.23,347.70
0,6,1000,1048576,448.74,94.58,772.22
0,10,1000,1,1.69,0.19,4.84
0,10,1000,2,1.71,0.19,4.86
0,10,1000,4,1.72,0.19,4.86
0,10,1000,8,1.71,0.18,4.89
0,10,1000,16,1.70,0.16,4.87
0,10,1000,32,1.91,0.24,5.27
0,10,1000,64,1.89,0.25,5.21
0,10,1000,128,2.10,0.35,5.54
