algorithm,cores,iterations,size,latency,min,max
0,2,1000,1,0.59,0.08,1.10
0,2,1000,2,1.19,0.82,1.56
0,2,1000,4,1.19,0.82,1.56
0,2,1000,8,0.59,0.09,1.10
0,2,1000,16,0.59,0.08,1.10
0,2,1000,32,0.68,0.08,1.28
0,2,1000,64,0.67,0.08,1.27
0,2,1000,128,0.88,0.25,1.51
0,2,1000,256,0.94,0.31,1.57
0,2,1000,512,1.07,0.36,1.79
0,2,1000,1024,1.16,0.41,1.91
0,2,1000,2048,1.66,0.71,2.61
0,2,1000,4096,2.41,1.34,3.48
0,2,1000,8192,3.69,2.52,4.85
0,2,1000,16384,6.58,5.40,7.75
0,2,1000,32768,11.00,9.62,12.37
0,2,1000,65536,20.83,19.10,22.56
0,2,1000,131072,40.96,38.46,43.46
0,2,1000,262144,40.64,36.12,45.15
0,2,1000,524288,82.12,71.24,93.00
0,2,1000,1048576,162.54,140.97,184.12
0,6,1000,1,1.11,0.19,2.66
0,6,1000,2,1.12,0.19,2.64
0,6,1000,4,1.12,0.19,2.66
0,6,1000,8,1.10,0.19,2.61
0,6,1000,16,1.11,0.19,2.65
0,6,1000,32,1.19,0.19,2.75
0,6,1000,64,1.20,0.19,2.79
0,6,1000,128,1.43,0.30,3.23
0,6,1000,256,1.48,0.30,3.30
0,6,1000,512,1.64,0.31,3.71
0,6,1000,1024,1.74,0.32,3.90
0,6,1000,2048,2.14,0.35,4.75
0,6,1000,4096,9.81,1.64,16.27
0,6,1000,8192,15.18,2.78,24.95
0,6,1000,16384,23.90,5.47,38.00
0,6,1000,32768,43.36,9.79,69.14
0,6,1000,65536,39.38,21.55,55.70
0,6,1000,131072,78.66,42.72,111.12
0,6,1000,262144,135.33,51.07,209.94
0,6,1000,524288,204.88,96.78,338.95
0,6,1000,1048576,652.40,217.52,1039.07
0,10,1000,1,0.96,0.19,2.23
0,10,1000,2,0.98,0.18,2.28
0,10,1000,4,0.96,0.18,2.25
0,10,1000,8,0.97,0.19,2.26
0,10,1000,16,0.95,0.18,2.22
0,10,1000,32,1.05,0.18,2.59
0,10,1000,64,1.06,0.19,2.60
0,10,1000,128,1.34,0.21,3.47
0,10,1000,256,1.47,0.24,3.57
0,10,1000,512,1.60,0.26,4.21
0,10,1000,1024,1.68,0.27,4.42
0,10,1000,2048,2.26,0.31,6.12
0,10,1000,4096,2.93,0.38,7.95
0,10,1000,8192,6.85,3.30,12.43
0,10,1000,16384,13.33,7.41,22.69
0,10,1000,32768,26.92,15.90,44.18
0,10,1000,65536,54.69,33.23,89.95
0,10,1000,131072,107.57,68.94,167.78
0,10,1000,262144,116.15,56.26,224.48
0,10,1000,524288,212.33,98.17,425.41
0,10,1000,1048576,452.60,207.90,905.62
0,14,1000,1,0.80,0.09,2.47
0,14,1000,2,0.78,0.09,2.43
0,14,1000,4,0.89,0.09,3.84
0,14,1000,8,0.79,0.09,2.47
0,14,1000,16,0.79,0.09,2.45
0,14,1000,32,1.06,0.11,4.05
0,14,1000,64,0.85,0.10,2.68
0,14,1000,128,1.16,0.20,3.58
0,14,1000,256,1.18,0.22,3.61
0,14,1000,512,1.31,0.24,4.19
0,14,1000,1024,1.54,0.28,5.93
0,14,1000,2048,2.15,0.47,6.12
0,14,1000,4096,3.64,0.90,12.93
0,14,1000,8192,8.49,2.73,16.99
0,14,1000,16384,17.19,6.13,29.82
0,14,1000,32768,35.58,15.52,58.60
0,14,1000,65536,70.25,30.11,106.29
0,14,1000,131072,130.92,42.65,203.82
0,14,1000,262144,112.66,55.39,232.29
0,14,1000,524288,230.66,103.12,472.77
0,14,1000,1048576,459.86,215.59,921.97
0,18,1000,1,0.98,0.10,3.24
0,18,1000,2,0.98,0.10,3.24
0,18,1000,4,0.98,0.10,3.23
0,18,1000,8,0.98,0.12,3.21
0,18,1000,16,0.97,0.11,3.20
0,18,1000,32,1.04,0.13,3.42
0,18,1000,64,1.05,0.14,3.40
0,18,1000,128,1.27,0.22,4.23
0,18,1000,256,1.29,0.24,4.26
0,18,1000,512,1.37,0.26,4.51
0,18,1000,1024,1.76,0.30,6.09
0,18,1000,2048,2.72,0.31,9.47
0,18,1000,4096,5.91,2.10,12.57
0,18,1000,8192,11.49,3.58,26.84
0,18,1000,16384,23.65,8.28,44.42
0,18,1000,32768,45.88,19.27,78.79
0,18,1000,65536,86.12,40.68,135.79
0,18,1000,131072,175.28,92.77,272.19
0,18,1000,262144,157.01,53.80,347.11
0,18,1000,524288,265.62,103.81,626.61
0,18,1000,1048576,565.19,217.06,1321.15
0,22,1000,1,1.04,0.12,3.17
0,22,1000,2,1.04,0.11,3.14
0,22,1000,4,1.24,0.12,4.53
0,22,1000,8,1.16,0.12,4.32
0,22,1000,16,1.31,0.12,6.11
0,22,1000,32,1.38,0.14,4.12
0,22,1000,64,1.41,0.14,4.34
0,22,1000,128,1.63,0.24,5.13
0,22,1000,256,1.64,0.27,5.13
0,22,1000,512,1.79,0.29,5.64
0,22,1000,1024,1.95,0.30,6.21
0,22,1000,2048,2.76,0.33,8.62
0,22,1000,4096,5.46,2.19,12.27
0,22,1000,8192,10.13,3.99,22.96
0,22,1000,16384,22.46,11.26,40.63
0,22,1000,32768,44.37,25.82,73.05
0,22,1000,65536,91.77,55.68,140.70
0,22,1000,131072,186.63,118.63,281.91
0,22,1000,262144,125.67,54.66,292.71
0,22,1000,524288,251.21,118.22,596.08
0,22,1000,1048576,661.46,243.42,1557.82
0,26,1000,1,1.25,0.08,5.95
0,26,1000,2,1.06,0.10,3.62
0,26,1000,4,1.28,0.09,4.82
0,26,1000,8,1.34,0.08,5.85
0,26,1000,16,1.17,0.08,4.83
0,26,1000,32,1.21,0.10,4.15
0,26,1000,64,1.20,0.09,4.15
0,26,1000,128,1.69,0.23,6.57
0,26,1000,256,1.55,0.25,5.35
0,26,1000,512,1.71,0.28,5.91
0,26,1000,1024,2.07,0.32,8.03
0,26,1000,2048,2.69,0.55,9.16
0,26,1000,4096,6.35,2.44,13.71
0,26,1000,8192,10.60,3.36,22.64
0,26,1000,16384,23.07,8.14,41.64
0,26,1000,32768,46.45,24.05,76.88
0,26,1000,65536,94.02,51.99,148.48
0,26,1000,131072,184.61,105.86,281.21
0,26,1000,262144,152.50,56.12,344.60
0,26,1000,524288,287.01,109.08,701.75
0,26,1000,1048576,550.25,205.81,1316.49
0,30,1000,1,0.96,0.10,3.74
0,30,1000,2,0.94,0.10,3.63
0,30,1000,4,0.96,0.10,3.76
0,30,1000,8,1.02,0.11,4.85
0,30,1000,16,0.94,0.12,3.67
0,30,1000,32,1.04,0.10,4.28
0,30,1000,64,1.01,0.10,4.09
0,30,1000,128,1.37,0.25,5.46
0,30,1000,256,1.46,0.26,5.67
0,30,1000,512,1.61,0.28,6.45
0,30,1000,1024,1.78,0.31,7.05
0,30,1000,2048,2.57,0.55,9.74
0,30,1000,4096,6.79,2.01,15.48
0,30,1000,8192,12.69,3.94,26.81
0,30,1000,16384,25.94,10.31,46.24
0,30,1000,32768,54.94,27.38,90.04
0,30,1000,65536,110.80,62.90,174.95
0,30,1000,131072,216.75,119.25,337.57
0,30,1000,262144,156.10,55.28,348.71
0,30,1000,524288,293.68,95.42,681.30
0,30,1000,1048576,578.68,214.26,1506.13
0,34,1000,1,1.35,0.32,3.92
0,34,1000,2,1.36,0.32,3.96
0,34,1000,4,1.35,0.32,3.90
0,34,1000,8,1.37,0.34,3.93
0,34,1000,16,1.39,0.34,3.98
0,34,1000,32,1.55,0.37,4.75
0,34,1000,64,1.57,0.35,4.84
0,34,1000,128,1.95,0.48,5.92
0,34,1000,256,2.36,0.53,7.40
0,34,1000,512,2.25,0.59,6.74
0,34,1000,1024,2.43,0.66,7.26
0,34,1000,2048,3.79,1.19,10.87
0,34,1000,4096,5.52,1.88,14.91
0,34,1000,8192,8.99,3.18,23.71
